Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Mean_MUC2,Undefined,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
1,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.85745614548103,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0.0109970843167431,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.83583351169287,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0.0080028494941706,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.803356947355968,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.0001669565592587,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.0887618524791304,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False,0.521660575204668,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.991837758364363,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,False,True,False,False,False,False,True,True,False,True,True,False,True,False,False,0.0398081135875502,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.0107285143171674,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.0718383281376198,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.810052480705623,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.995476688771234,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,0.234390075929711,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,0.999730599638931,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,0.999860376256616,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.977737082328112,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.514809244261286,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.979276601890594,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
21,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.999670006591759,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,0.966226618927753,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,0.71828799418609,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.99771313671727,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.938511418972382,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
26,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.225683042559822,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.0893196779602146,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.931785700943032,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
