Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
15,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
141,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
153,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3.06194266682918e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
172,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
229,False,False,False,False,False,False,False,False,False,False,False,True,False,False,7.62186744626833e-10,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
264,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
324,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
373,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
398,False,False,False,True,False,True,False,False,True,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
402,False,False,False,True,True,False,False,False,False,False,False,False,False,True,0.0,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
