tissue,round_x,before_ncc,after_ncc,intensity,mean_rmse
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_01_initial_reg.tif,[0.96439885],[0.97802061],1.4602429539382984,1.449204
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_02_initial_reg.tif,[0.93914902],[0.96251072],1.7907758049876883,1.4659661
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_03_initial_reg.tif,[0.91071629],[0.94101098],1.7353770089935174,1.4796851
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_04_initial_reg.tif,[0.91066446],[0.93759303],2.3118635621295525,1.4885007
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_05_initial_reg.tif,[0.92320185],[0.95081326],2.151153072097645,1.4917216
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_06_initial_reg.tif,[0.92837156],[0.95838743],1.8564535042576324,1.4725376
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_07_initial_reg.tif,[0.91821587],[0.94694031],2.07007048071144,1.4842875
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_08_initial_reg.tif,[0.92386663],[0.9535381],1.9010018735293843,1.4778556
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_09_initial_reg.tif,[0.91472235],[0.94725059],1.9679369476223976,1.4880087
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_10_initial_reg.tif,[0.92025495],[0.95255054],1.66386227414428,1.4894586
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_11_initial_reg.tif,[0.90637441],[0.93996239],1.9033208298180229,1.4836544
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_12_initial_reg.tif,[0.90821734],[0.94719023],1.7883689989815499,1.4933313
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_13_initial_reg.tif,[0.90562521],[0.94140768],2.010984201952727,1.4882611
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_14_initial_reg.tif,[0.89471307],[0.93563779],2.399217428992504,1.5127392
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_15_initial_reg.tif,[0.89631585],[0.93544186],2.1303514017833054,1.5069958
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_16_initial_reg.tif,[0.88921556],[0.93320303],2.16924076309091,1.5097293
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_17_initial_reg.tif,[0.88229958],[0.93012226],1.981885050295052,1.5119097
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_18_initial_reg.tif,[0.88591513],[0.92799663],1.95024288833011,1.5203317
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_01_initial_reg.tif,[0.95937798],[0.97051471],1.4319492245843686,1.3897424
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_02_initial_reg.tif,[0.94715389],[0.96480848],1.8634178186393127,1.4173034
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_03_initial_reg.tif,[0.90001479],[0.93195632],1.56540299145223,1.4726751
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_04_initial_reg.tif,[0.90513906],[0.93570618],1.5981494465895738,1.4503236
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_05_initial_reg.tif,[0.90914046],[0.93952115],1.4235007858230704,1.443413
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_06_initial_reg.tif,[0.90520485],[0.93717743],1.3840592795395268,1.4555491
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_07_initial_reg.tif,[0.91437465],[0.94414113],1.4516018612119275,1.448341
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_08_initial_reg.tif,[0.90814163],[0.94044375],1.4066801386676706,1.4439173
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_09_initial_reg.tif,[0.88828224],[0.93363922],1.524295747927589,1.5067757
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_10_initial_reg.tif,[0.88392081],[0.92933117],1.3977001036198518,1.4727825
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_11_initial_reg.tif,[0.87694545],[0.91532707],1.4594587308299132,1.4597632
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_12_initial_reg.tif,[0.87433485],[0.91883686],1.4309610609184333,1.4959338
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_13_initial_reg.tif,[0.87483085],[0.91584901],1.709647697730407,1.4976321
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_14_initial_reg.tif,[0.87880057],[0.92213915],1.9371967911538863,1.4828819
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_15_initial_reg.tif,[0.88687774],[0.92732425],1.6766195659733274,1.4761026
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_16_initial_reg.tif,[0.87308477],[0.91731563],1.6968282629661988,1.4702408
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_17_initial_reg.tif,[0.86954387],[0.90997759],1.6052134822571409,1.4829232
GCA002TIB_,/nfs2/baos1/rudravg/GCA002TIB_DAPI_UV_12ms_ROUND_18_initial_reg.tif,[0.85761449],[0.89882493],1.5780816522667005,1.4657161
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_01_initial_reg.tif,[0.95084736],[0.96544064],1.9439651203592159,1.4514207
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_02_initial_reg.tif,[0.95082226],[0.97165621],1.6786583100789036,1.4448407
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_03_initial_reg.tif,[0.92107042],[0.9503614],2.114352377691956,1.4548296
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_04_initial_reg.tif,[0.94686742],[0.96764537],2.31332482150857,1.454471
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_05_initial_reg.tif,[0.95206175],[0.97204941],1.8762642040272872,1.4509487
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_06_initial_reg.tif,[0.94395503],[0.96468302],2.179881109792847,1.4509406
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_07_initial_reg.tif,[0.94503738],[0.96847194],2.261054205917683,1.4501128
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_08_initial_reg.tif,[0.93250311],[0.96314409],2.2480866360969194,1.4608786
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_09_initial_reg.tif,[0.92974087],[0.96351795],2.1812977432643543,1.4584606
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_10_initial_reg.tif,[0.93173385],[0.96144257],2.197959766997099,1.4541166
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_11_initial_reg.tif,[0.89281796],[0.94454103],2.458105938881667,1.4690769
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_12_initial_reg.tif,[0.896642],[0.95256438],2.061973801169283,1.4786156
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_13_initial_reg.tif,[0.88616234],[0.94574673],2.629633986739263,1.4850984
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_14_initial_reg.tif,[0.88175335],[0.94221035],2.829267335308961,1.4949378
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_15_initial_reg.tif,[0.87248017],[0.93564857],3.019686117131814,1.5126327
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_16_initial_reg.tif,[0.85866839],[0.93262874],2.8347010515875977,1.5095336
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_17_initial_reg.tif,[0.8410366],[0.92825769],2.296120822233668,1.5298078
GCA003ACA_,/nfs2/baos1/rudravg/GCA003ACA_DAPI_UV_12ms_ROUND_18_initial_reg.tif,[0.85110692],[0.93392773],2.406622459343436,1.5295507
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_01_initial_reg.tif,[0.95651625],[0.97075819],1.8011062273918987,1.4785593
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_02_initial_reg.tif,[0.95097675],[0.96990327],1.5127104497823503,1.435345
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_03_initial_reg.tif,[0.88979157],[0.93022697],1.498345918309248,1.4444026
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_04_initial_reg.tif,[0.93229876],[0.95495426],1.7019215508900005,1.444747
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_05_initial_reg.tif,[0.93096715],[0.9538753],1.4299085338654178,1.4389838
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_06_initial_reg.tif,[0.91424913],[0.94071525],1.5448742954771868,1.4467707
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_07_initial_reg.tif,[0.90316242],[0.93790006],1.8123625459337525,1.4574937
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_08_initial_reg.tif,[0.89111568],[0.93156417],1.8119028498040186,1.4641166
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_09_initial_reg.tif,[0.88278859],[0.92843859],1.9707459690075133,1.4748764
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_10_initial_reg.tif,[0.85653548],[0.90991239],2.2392534050147392,1.4748847
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_11_initial_reg.tif,[0.85669249],[0.90801285],2.31168476114196,1.4779754
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_12_initial_reg.tif,[0.87182338],[0.91925954],1.942073049737363,1.4740641
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_13_initial_reg.tif,[0.83287961],[0.90706345],2.362337477996061,1.5075282
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_14_initial_reg.tif,[0.86386396],[0.91820866],2.506024657879957,1.4889963
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_15_initial_reg.tif,[0.86378073],[0.91648195],2.485269780113955,1.4836463
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_16_initial_reg.tif,[0.86690688],[0.91600819],2.274021177418769,1.4774734
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_17_initial_reg.tif,[0.85814262],[0.91307573],2.02143917829225,1.4898785
GCA003TIB_,/nfs2/baos1/rudravg/GCA003TIB_DAPI_UV_12ms_ROUND_18_initial_reg.tif,[0.84446195],[0.90096805],2.229617093846886,1.4802071
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_01_initial_reg.tif,[0.95671929],[0.969812],2.246481760767361,1.5134372
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_02_initial_reg.tif,[0.9474163],[0.9686706],1.763395910408217,1.4680798
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_03_initial_reg.tif,[0.91852598],[0.94416162],1.7451418647929533,1.4705063
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_04_initial_reg.tif,[0.92051628],[0.95086487],2.4329833727058037,1.482225
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_05_initial_reg.tif,[0.92613419],[0.95979808],1.7214119241348775,1.4784176
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_06_initial_reg.tif,[0.93395263],[0.95723788],1.9775761531546134,1.4781786
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_07_initial_reg.tif,[0.92134928],[0.95059007],2.1312251916304343,1.4850433
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_08_initial_reg.tif,[0.92376427],[0.95382964],2.0584915895584976,1.4838178
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_09_initial_reg.tif,[0.91361489],[0.95409373],2.079946193285545,1.4922931
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_10_initial_reg.tif,[0.91924937],[0.95771701],2.2135567834377574,1.4949462
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_11_initial_reg.tif,[0.91667171],[0.95312859],2.407254576244048,1.4967647
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_12_initial_reg.tif,[0.91314071],[0.95060642],2.0322185468987906,1.4919399
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_13_initial_reg.tif,[0.91392261],[0.9486201],2.7679362293086673,1.4990934
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_14_initial_reg.tif,[0.90479347],[0.94475142],3.355085872958277,1.5124946
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_15_initial_reg.tif,[0.90307429],[0.94348576],2.859068917886178,1.5116891
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_16_initial_reg.tif,[0.89754408],[0.94281506],3.244783604580041,1.5118495
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_17_initial_reg.tif,[0.89173842],[0.93979122],2.6857151714193415,1.5156434
GCA004TIB_,/nfs2/baos1/rudravg/GCA004TIB_DAPI_UV_12ms_ROUND_18_initial_reg.tif,[0.87434753],[0.93546072],3.19539440938845,1.5272844
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_14ms_ROUND_01_initial_reg.tif,[0.93806404],[0.95657912],0.9686126158892006,1.4617885
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_14ms_ROUND_02_initial_reg.tif,[0.91371041],[0.9349709],0.6874050989172507,1.4866321
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.91441774],[0.94017785],1.0804560496127442,1.4783083
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.90413247],[0.9299269],1.4219587299768717,1.4820973
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.89986786],[0.93249165],1.4777577621141798,1.4903516
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.8943894],[0.92374036],1.2993082084748624,1.4718806
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.87902488],[0.90729741],2.4807263284317265,1.4743685
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.89150765],[0.92085729],2.144869826833892,1.474839
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.87313701],[0.90685965],2.6990488979172444,1.4855205
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.85404941],[0.90077379],2.7608319727520176,1.4957832
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.86889048],[0.90471015],3.302309905188775,1.4971951
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.85749162],[0.90094355],2.7643097599048714,1.4954296
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_13_initial_reg.tif,[0.82865899],[0.87012693],4.300068282875024,1.5040362
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_14_initial_reg.tif,[0.83797257],[0.87467575],3.99022258875504,1.5068213
GCA007ACB_,/nfs2/baos1/rudravg/GCA007ACB_DAPI_DAPI_12ms_ROUND_15_initial_reg.tif,[0.87452472],[0.90528549],3.0146255203682397,1.4881139
