tissue,round_x,before_ncc,after_ncc,intensity,mean_rmse
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_01_initial_reg.tif,[0.96085006],[0.97608556],3.252213958542892,1.9109708
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_02_initial_reg.tif,[0.93275969],[0.95977804],3.4838592628283807,1.8596637
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_03_initial_reg.tif,[0.90215806],[0.93581588],4.036248969117409,1.932116
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_04_initial_reg.tif,[0.89999936],[0.93065103],4.789593393854083,1.9130117
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_05_initial_reg.tif,[0.91158849],[0.94376016],4.455330796284524,1.9213609
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_06_initial_reg.tif,[0.91666401],[0.95133266],3.8073039388122374,1.9153794
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_07_initial_reg.tif,[0.90604304],[0.93941422],4.448716759347109,1.9163249
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_08_initial_reg.tif,[0.9115924],[0.94614428],4.319667983693651,1.9176121
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_09_initial_reg.tif,[0.90316667],[0.93996691],3.869777714674519,1.9178175
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_10_initial_reg.tif,[0.90697135],[0.94447724],4.110619048725036,1.939544
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_11_initial_reg.tif,[0.89299861],[0.93105751],3.6957164055665266,1.9262196
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_12_initial_reg.tif,[0.89386577],[0.93784974],4.113548579291717,1.9431182
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_13_initial_reg.tif,[0.88904476],[0.93059266],4.310502684137172,1.9413724
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_14_initial_reg.tif,[0.87939827],[0.92530237],6.279927837221064,1.9352822
GCA002ACB_,/nfs2/baos1/rudravg/GCA002ACB_DAPI_UV_12ms_ROUND_15_initial_reg.tif,[0.88069748],[0.92523813],4.766346189049595,1.9391146
